,indextest,block info,white,black,asian,4,5,6,7,index,creation_date,completion_date,community_area,street_address,type_of_service_request,latitude,longitude,police_district,ward,is_building_open_or_boarded_,number_of_potholes_filled_on_block,what_type_of_surface_is_the_graffiti_on_,what_is_the_nature_of_this_code_violation_,x_coordinate,y_coordinate,zip
0,1,"Block Group 2, Census Tract 8418, Cook County, Illinois",10,1958,0,17,031,841800,2,0,2017-03-31T00:00:00,,69.0,S UNIVERSITY 7212 AVE,Vacant/Abandoned Building,41.7639261355,-87.5970153722,3.0,5.0,,,,,1185129.28007,1857425.29077,
0,1,"Block Group 3, Census Tract 5306, Cook County, Illinois",79,753,0,17,031,530600,3,1,2017-03-31T00:00:00,,53.0,E 120TH 151 ST,Vacant/Abandoned Building,41.6762527698,-87.6190710564,5.0,9.0,Open,,,,1179377.15512,1825427.31858,
0,1,"Block Group 3, Census Tract 7502, Cook County, Illinois",601,74,27,17,031,750200,3,2,2017-03-31T00:00:00,,75.0,S LONGWOOD 10762 DR,Vacant/Abandoned Building,41.6980360668,-87.6712388095,22.0,19.0,Open,,,,1165064.52143,1833251.03961,
0,1,"Block Group 3, Census Tract 4603.01, Cook County, Illinois",144,485,0,17,031,460301,3,3,2017-03-31T00:00:00,,46.0,S MARQUETTE 8401 AVE,Vacant/Abandoned Building,41.7427235064,-87.5588029129,4.0,7.0,Open,,,,1195623.87397,1849790.77941,
0,1,"Block Group 4, Census Tract 6811, Cook County, Illinois",12,786,0,17,031,681100,4,4,2017-03-31T00:00:00,,68.0,S CARPENTER 6811 ST,Vacant/Abandoned Building,41.7703638515,-87.6506150876,7.0,6.0,Open,,,,1170487.72039,1859650.52442,
0,1,"Block Group 2, Census Tract 4409, Cook County, Illinois",0,813,0,17,031,440900,2,5,2017-03-31T00:00:00,,44.0,E 92ND 628 PL,Vacant/Abandoned Building,41.7265509951,-87.6087389308,6.0,9.0,Open,,,,1182045.57059,1843778.96659,
0,1,"Block Group 2, Census Tract 5303, Cook County, Illinois",48,993,0,17,031,530300,2,6,2017-03-31T00:00:00,,53.0,S MORGAN 11717 ST,Vacant/Abandoned Building,41.6810704985,-87.6468863569,5.0,34.0,Open,,,,1171764.34722,1827121.06989,
0,1,"Block Group 1, Census Tract 5103, Cook County, Illinois",61,1502,15,17,031,510300,1,7,2017-03-31T00:00:00,,51.0,S OGLESBY 9721 AVE,Vacant/Abandoned Building,41.7180200358,-87.5662423013,4.0,10.0,,,,,1193673.83161,1840770.88479,
0,1,"Block Group 1, Census Tract 6809, Cook County, Illinois",9,895,8,17,031,680900,1,8,2017-03-31T00:00:00,,68.0,S STEWART 6520 AVE,Vacant/Abandoned Building,41.7762293318,-87.6349507365,7.0,20.0,Open,,,,1174743.44357,1861822.17011,
0,1,"Block Group 2, Census Tract 6814, Cook County, Illinois",0,1043,0,17,031,681400,2,9,2017-03-31T00:00:00,,68.0,S ABERDEEN 7318 ST,Vacant/Abandoned Building,41.761122535,-87.6515875628,7.0,17.0,Open,,,,1170249.12917,1856280.95958,
